posted_time,location,post_title,bedroom_no,sqft,url,price
2024-10-30,"1981 Hidden Glen Dr SE, Marietta, GA","Full Appliance Package, Bark Park, Private Patio or Balcony",2,1010,https://atlanta.craigslist.org/nat/apa/d/marietta-full-appliance-package-bark/7796230978.html,1475.0
2024-10-30,"3507 REDWINE ROAD, ATLANTA, GA","2 Bed, Business Center, Fitness Center",2,1145,https://atlanta.craigslist.org/sat/apa/d/atlanta-bed-business-center-fitness/7796230884.html,1650.0
2024-10-30,Stone Mountain,Cats and Dogs Welcome! We are Pet Friendly! 3 BD / 2 BA,3,1300,https://atlanta.craigslist.org/eat/apa/d/pine-lake-cats-and-dogs-welcome-we-are/7797358121.html,1434.0
2024-10-30,Decatur,You'll love your new home! Check out our 1 BR.,1,555,https://atlanta.craigslist.org/eat/apa/d/decatur-youll-love-your-new-home-check/7797194579.html,949.0
2024-10-30,Austell - Near Six Flags Over Georgia,Live in style! Gorgeous upgraded 2 Bed / 2 Bath! 1250 Sq Ft!,2,1250,https://atlanta.craigslist.org/wat/apa/d/austell-live-in-style-gorgeous-upgraded/7796828779.html,1536.0
2024-10-30,Stone Mountain,A home for everyone - even your pets! Pet friendly 2 bed / 2 bath!,2,1051,https://atlanta.craigslist.org/eat/apa/d/stone-mountain-home-for-everyone-even/7793800347.html,1174.0
2024-10-30,Alpharetta,"Fantastic neighborhood! Great 2 bed, 2 bath, 1229 Sq Ft!",2,1229,https://atlanta.craigslist.org/nat/apa/d/alpharetta-fantastic-neighborhood-great/7796117645.html,2005.0
2024-10-30,"171 Auburn Ave NE, Atlanta, GA","FREE Storage - Limited Time, in Atlanta GA, 1/bd 1/ba",1,928,https://atlanta.craigslist.org/atl/apa/d/atlanta-free-storage-limited-time-in/7792400589.html,1605.0
2024-10-30,"100 Noble Creek Dr NW, Atlanta, GA","2/bd 2/ba, Cozy Wood Burning Fireplace, Situated in Atlanta!",2,1366,https://atlanta.craigslist.org/nat/apa/d/atlanta-bd-ba-cozy-wood-burning/7793195822.html,1615.0
2024-10-30,Lithonia,"DIVE INTO YOUR NEW HOME ❗️🏡(214Tiffany Tr Lithonia, GA 30058)",3,1546,https://atlanta.craigslist.org/eat/apa/d/lithonia-dive-into-your-new-home/7797972909.html,824.0
2024-10-30,"2800 Herrington Woods Ct, Lawrenceville, GA","3bd 2ba, Sundeck, In Lawrenceville",3,1296,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-3bd-2ba-sundeck-in/7795065562.html,2065.0
2024-10-30,Lithonia,"DIVE INTO YOUR NEW HOME❗️❗️🏡(214Tiffany Tr Lithonia, GA 30058)",3,1546,https://atlanta.craigslist.org/eat/apa/d/lithonia-dive-into-your-new/7797969793.html,824.0
2024-10-30,Cartersville,WE LOVE OUR PETS!! Great Community for Animal-Lovers!,4,1409,https://atlanta.craigslist.org/nat/apa/d/cartersville-we-love-our-pets-great/7794400072.html,1987.0
2024-10-30,Snellville - Near Centerville Crossing,"Clean and spacious 884 Sq Ft, 1 BR / 1 BA with gorgeous views",1,884,https://atlanta.craigslist.org/eat/apa/d/snellville-clean-and-spacious-884-sq-ft/7795211086.html,1244.0
2024-10-30,Woodstock,"In the heart of the action! 3 bed, 2 bath. Don't miss out!",3,1367,https://atlanta.craigslist.org/nat/apa/d/lebanon-in-the-heart-of-the-action-bed/7789568669.html,1480.0
2024-10-30,"100 Noble Creek Dr NW, Atlanta, GA","Newly Renovated Apartments, Wood-Inspired Flooring, Vaulted Ceilings",2,1366,https://atlanta.craigslist.org/nat/apa/d/atlanta-newly-renovated-apartments-wood/7793799406.html,1665.0
2024-10-30,Austell,"This 1258 sq ft 3 bed, 2 bath is impressive!",3,1258,https://atlanta.craigslist.org/wat/apa/d/atlanta-this-1258-sq-ft-bed-bath-is/7795675519.html,1599.0
2024-10-30,Lilburn,Alquiler de apartamentos en Lilburn. Encontrar el lugar perfecto cerca,1,800,https://atlanta.craigslist.org/eat/apa/d/lilburn-alquiler-de-apartamentos-en/7794108885.html,1199.0
2024-10-30,"171 Auburn Ave NE, Atlanta, GA","Tennis Court, In Atlanta, 1bd 1ba",1,932,https://atlanta.craigslist.org/atl/apa/d/atlanta-tennis-court-in-atlanta-1bd-1ba/7796386409.html,1620.0
2024-10-30,Atlanta - Camp Creek Parkway,Your pets deserve the best! Come to our Pet-Friendly 3 BD / 2 BA.,3,1385,https://atlanta.craigslist.org/atl/apa/d/atlanta-your-pets-deserve-the-best-come/7796393934.html,1980.0
2024-10-30,Covington,2 Bed / 2 Bath. We welcome your pets! Ask about our pet policy!,2,1316,https://atlanta.craigslist.org/eat/apa/d/covington-bed-bath-we-welcome-your-pets/7795529290.html,1315.0
2024-10-30,Lawrenceville,Claim your spot! 1 Bed / 1 Bath available!,1,822,https://atlanta.craigslist.org/eat/apa/d/lawrenceville-claim-your-spot-bed-bath/7796222194.html,1094.0
2024-10-30,Dacula,Senior Housing in Dacula! Now accepting applications!,1,700,https://atlanta.craigslist.org/atl/apa/d/dacula-senior-housing-in-dacula-now/7796104032.html,1127.0
2024-10-30,Douglasville,We've got the perfect deal for you! Come see our amazing 2 Bd 2 Ba!,2,1222,https://atlanta.craigslist.org/wat/apa/d/douglasville-weve-got-the-perfect-deal/7797355452.html,1305.0
2024-10-30,Atlanta - Near to Windjammer Center,Lovely community! Simply breath-taking! Come in and see for yourself!,1,1150,https://atlanta.craigslist.org/sat/apa/d/atlanta-lovely-community-simply-breath/7791969025.html,
2024-10-30,Alpharetta,Gorgeous remodeled 1191 sq ft 2 bed / 2 bath at IMT Stoneleigh at Deer,2,1191,https://atlanta.craigslist.org/nat/apa/d/alpharetta-gorgeous-remodeled-1191-sq/7792130186.html,1850.0
2024-10-30,"Riverdale - Near to Shops, Restaurants 10 minutes to Airport",Enjoy easy access to public transportation at Emerald Pointe Apartment,1,810,https://atlanta.craigslist.org/sat/apa/d/riverdale-enjoy-easy-access-to-public/7794576416.html,1135.0
2024-10-30,Stone Mountain - Near Stone Mountain Plaza,DON'T MISS OUT 1ST MONTH'S RENT FREE MOVE IN BY OCT 21ST!!,2,1250,https://atlanta.craigslist.org/eat/apa/d/pine-lake-dont-miss-out-1st-months-rent/7793205843.html,1150.0
2024-10-30,Austell,Two paws up for our 3 BR / 2 BA! Austell's top pet-friendly spot.,3,1258,https://atlanta.craigslist.org/wat/apa/d/atlanta-two-paws-up-for-our-br-ba/7795967327.html,1599.0
2024-10-30,Morrow - 20 Minutes from Ferns of the World Garden,Lovely community! Simply breath-taking! Come in and see for yourself!,3,1521,https://atlanta.craigslist.org/sat/apa/d/morrow-lovely-community-simply-breath/7796717499.html,1399.0
2024-10-30,Riverdale,Spacious and elegant! You've found your ideal 1 bed / 1 bath!,1,860,https://atlanta.craigslist.org/sat/apa/d/riverdale-spacious-and-elegant-youve/7797199975.html,1136.0
2024-10-30,Lilburn - Northeast Atlanta,Seamless blend of style & comfort: Dive into our 1 BR.,1,800,https://atlanta.craigslist.org/atl/apa/d/lilburn-seamless-blend-of-style-comfort/7791295748.html,1199.0
2024-10-30,Jonesboro - 15 Minute Drive to Newman Wetlands Center,"Shhh! It’s quiet over here. Serene 2 bed, 1 bath at Oak Run Apartment",2,950,https://atlanta.craigslist.org/nat/apa/d/jonesboro-shhh-its-quiet-over-here/7795520842.html,1177.0
2024-10-30,Atlanta,"Sweeping views are just outside your window! 3 Bd, 2 Ba, 1335 SqFt!",3,1335,https://atlanta.craigslist.org/atl/apa/d/atlanta-sweeping-views-are-just-outside/7796804447.html,1988.0
2024-10-30,Lawrenceville,Comfortable & convenient 2 bed / 2 bath townhome at Groves of Lawrence,2,1110,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-comfortable-convenient/7791233185.html,
2024-10-30,Atlanta,Emory/Atlanta Spacious 2 Bedroom!,2,,https://atlanta.craigslist.org/atl/apa/d/atlanta-emory-atlanta-spacious-bedroom/7793961730.html,1785.0
2024-10-30,Decatur,Emory/Decatur! Big 2 Bedroom!,2,,https://atlanta.craigslist.org/atl/apa/d/decatur-emory-decatur-big-bedroom/7795087333.html,1790.0
2024-10-30,"171 Auburn Ave NE, Atlanta, GA","Situated in Atlanta!, Short Term Leases, 1/bd",1,744,https://atlanta.craigslist.org/atl/apa/d/atlanta-situated-in-atlanta-short-term/7793505083.html,1440.0
2024-10-30,Newnan,"Comfortable living. Conveniently located, spacious 1 bed 1 bath!",1,700,https://atlanta.craigslist.org/sat/apa/d/newnan-comfortable-living-conveniently/7790135041.html,1050.0
2024-10-30,Buckhead Atlanta @ The Eclipse,PRIME 14th floor 1 Bedroom corner condo @ The Eclipse in Buckhead!,1,800,https://atlanta.craigslist.org/atl/apa/d/atlanta-prime-14th-floor-bedroom-corner/7798005893.html,1950.0
2024-10-30,Jonesboro - 20 Minute Drive to Ferns of the World Garden,"Abundant space in your new 2 bed 2 bath, along with washer and dryer",2,1200,https://atlanta.craigslist.org/sat/apa/d/riverdale-abundant-space-in-your-new/7789787404.html,
2024-10-30,"100 Noble Creek Dr NW, Atlanta, GA","Vaulted Ceilings, Onsite Management and Maintenance, Gas Range",2,1373,https://atlanta.craigslist.org/nat/apa/d/atlanta-vaulted-ceilings-onsite/7791683033.html,1738.0
2024-10-30,Lawrenceville,1 BR / 1 BA great for pets! Pet-Friendly Community in Lawrenceville,1,700,https://atlanta.craigslist.org/nat/apa/d/grayson-br-ba-great-for-pets-pet/7791561752.html,1124.0
2024-10-30,"2800 Herrington Woods Ct, Lawrenceville, GA","Gourmet Kitchens, Sundeck, Sparkling Swimming Pool",4,1472,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-gourmet-kitchens-sundeck/7795646936.html,2291.0
2024-10-30,Snellville - Near Centerville Crossing,"Clean and spacious 884 Sq Ft, 1 BR / 1 BA with gorgeous views",1,884,https://atlanta.craigslist.org/eat/apa/d/snellville-clean-and-spacious-884-sq-ft/7795665895.html,1244.0
